76+14	97+74,85+48,34+31,58+34,21+67,91+66,69+48,87+94,18+11,70+85,45+23,43+38,81+25,97+24,94+28,68+49,99+57,29+75,44+33,30+57,21+32,11+96,94+93,49+79,57+85,25+27,63+40,51+45,35+70,22+40,99+20,23+26
97+74	25+20,13+31,83+10,96+24,23+24,66+30,97+19,26+44,67+33,12+35,94+29,82+17,79+94,66+52,90+81,60+94,33+85,55+34,76+20,45+33,47+79,70+79,70+37,24+37,97+99,10+85,57+16,48+22,16+75,13+10,99+23,29+44
85+48	52+27,71+14,81+52,95+22,50+10,44+95,69+19,87+75,92+46,50+32,55+65,25+10,52+39,55+78,34+27,40+52,91+56,64+71,28+87,65+27,27+70,55+32,71+21,43+16,11+78,94+87,46+25,44+36,45+21,18+83,27+74,40+49
34+31	31+47,75+92,29+82,76+97,67+83,99+40,65+60,92+59,36+57,21+90,23+30,50+85,32+85,96+98,19+28,26+44,99+77,79+40,12+58,55+27,54+76,70+32,44+60,17+72,89+22,66+19,86+80,27+30,19+35,28+63,77+20,89+61
58+34	52+74,28+40,77+63,85+20,17+50,99+43,28+96,94+22,79+71,26+21,72+17,76+17,64+25,21+60,65+30,45+29,33+13,20+55,19+42,37+27,64+30,45+67,54+95,39+21,99+52,72+33,68+43,34+66,12+16,21+36,58+72,74+61
21+67	47+68,16+70,75+83,64+81,31+51,99+37,72+76,33+85,92+67,27+44,17+80,44+24,99+36,81+83,96+50,24+10,56+99,77+24,64+49,20+24,58+61,93+31,74+58,39+93,91+78,74+57,69+32,21+76,82+94,67+73,87+95,80+84
91+66	37+19,40+67,70+91,26+15,11+14,53+39,53+26,85+72,66+72,82+95,33+37,66+77,73+47,49+16,13+22,60+33,59+28,55+77,18+96,87+57,45+50,10+35,14+12,26+49,78+47,45+29,25+68,85+50,90+45,23+95,43+54,58+74
69+48	85+40,58+20,87+80,77+87,21+23,22+73,89+26,96+12,47+42,55+66,28+59,93+57,99+88,54+40,29+22,73+44,18+96,11+74,29+63,94+43,28+55,45+84,32+18,95+69,12+72,38+22,47+43,33+75,37+29,18+67,84+13,92+87
87+94	95+24,39+73,64+70,40+63,67+44,62+50,69+90,35+17,10+40,13+61,15+72,47+72,64+35,76+16,58+97,19+26,72+18,39+92,25+42,40+38,31+79,29+82,14+66,10+81,64+37,48+62,75+57,70+58,58+80,99+94,17+71,75+80
18+11	14+14,53+98,66+53,29+63,95+32,60+19,35+64,55+86,72+12,17+35,17+59,41+96,52+92,22+28,99+76,54+50,74+58,98+65,46+30,92+75,80+96,40+68,33+67,13+44,36+29,83+88,23+37,26+74,56+69,61+50,80+53,76+76
70+85	19+85,39+55,16+88,30+29,65+11,41+97,15+15,72+56,39+36,58+12,32+80,90+96,35+21,92+53,55+54,97+37,92+19,38+15,23+89,47+92,62+88,18+28,60+21,79+69,85+78,61+35,12+30,69+40,70+56,19+35,26+17,69+54
45+23	86+30,84+46,25+21,15+12,79+15,88+87,20+96,50+91,25+61,80+38,50+16,62+92,32+33,60+86,13+44,62+45,42+77,69+36,12+16,32+10,68+10,11+32,70+76,63+35,93+96,22+79,61+76,47+73,73+86,24+58,68+19,83+50
